Designation,Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Software Developer,Myntra,3.8,2.4k,Internet,Hyderabad +105 other locations,0 - 5 yrs exp.,₹ 19 L/yr - ₹ 25.6 L/yr,19,25.6,Company Culture,Promotions
Software Developer,Amazon,3.9,33.2k,Internet,Hyderabad +553 other locations,0 - 5 yrs exp.,₹ 20.2 L/yr - ₹ 23.3 L/yr,20.2,23.3,"Company Culture, Work Life Balance, Salary",Promotions
Software Developer,Ola Electric Mobility,3.3,3.3k,Automobile,Hyderabad +455 other locations,0 - 3 yrs exp.,₹ 18 L/yr - ₹ 24.9 L/yr,18,24.9,Salary,"Job Security, Promotions, Company Culture"
Software Developer,Dream11,4.2,148,Internet,Hyderabad +7 other locations,0 - 3 yrs exp.,₹ 17.5 L/yr - ₹ 25.2 L/yr,17.5,25.2,"Salary, Company Culture, Work Life Balance",
Software Developer,Media.net Software Services (India),3.1,263,Marketing & Advertising,Hyderabad +9 other locations,0 - 4 yrs exp.,₹ 17.2 L/yr - ₹ 24.2 L/yr,17.2,24.2,,"Promotions, Skill Development, Job Security"
Software Developer,Blinkit,3.8,4.1k,Internet,Hyderabad +187 other locations,0 - 3 yrs exp.,₹ 17.5 L/yr - ₹ 23.8 L/yr,17.5,23.8,"Skill Development, Salary",Promotions
Software Developer,BNY,3.6,5.5k,Financial Services,Hyderabad +29 other locations,0 - 4 yrs exp.,₹ 19.3 L/yr - ₹ 21.5 L/yr,19.3,21.5,,"Promotions, Job Security, Work Satisfaction"
Software Developer,Money View,4.1,324,FinTech,Hyderabad +26 other locations,0 - 4 yrs exp.,₹ 16.3 L/yr - ₹ 24.4 L/yr,16.3,24.4,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Software Developer,Ixigo.com,3.7,110,Travel & Tourism,Hyderabad +7 other locations,0 - 2 yrs exp.,₹ 18.7 L/yr - ₹ 20.7 L/yr,18.7,20.7,,"Promotions, Work Life Balance, Work Satisfaction"
Software Developer,Amazon Web Services,3.8,1k,IT Services & Consulting,Hyderabad +66 other locations,0 - 5 yrs exp.,₹ 16.1 L/yr - ₹ 24 L/yr,16.1,24,Salary,"Job Security, Promotions"
Software Developer,C DOT,3.8,221,Telecom,Hyderabad +14 other locations,0 - 3 yrs exp.,₹ 18.1 L/yr - ₹ 20 L/yr,18.1,20,"Work Life Balance, Job Security","Promotions, Skill Development, Work Satisfaction"
Software Developer,Facebook,4.4,169,Internet,Hyderabad +29 other locations,0 - 3 yrs exp.,₹ 15.2 L/yr - ₹ 22.7 L/yr,15.2,22.7,"Salary, Company Culture, Work Life Balance",
Software Developer,Jubilant Foods Works,3.7,4.5k,Hospitality,Hyderabad +277 other locations,0 - 1 yrs exp.,₹ 17.9 L/yr - ₹ 19.8 L/yr,17.9,19.8,,"Promotions, Work Satisfaction"
Software Developer,Zeta,3.1,333,Emerging Technologies,Hyderabad +12 other locations,0 - 3 yrs exp.,₹ 15.4 L/yr - ₹ 22.2 L/yr,15.4,22.2,,"Promotions, Work Satisfaction, Company Culture"
Software Developer,Walmart,3.5,3.2k,Retail,Hyderabad +96 other locations,0 - 8 yrs exp.,₹ 16.5 L/yr - ₹ 20.6 L/yr,16.5,20.6,,"Promotions, Work Satisfaction, Job Security"
Software Developer,MakeMyTrip,3.5,1.1k,Travel & Tourism,Hyderabad +47 other locations,0 - 6 yrs exp.,₹ 15.1 L/yr - ₹ 21.5 L/yr,15.1,21.5,,"Promotions, Work Satisfaction, Skill Development"
Software Developer,Goldman Sachs,3.3,1.7k,Financial Services,Hyderabad +23 other locations,0 - 5 yrs exp.,₹ 14.3 L/yr - ₹ 20.9 L/yr,14.3,20.9,,"Work Life Balance, Job Security, Promotions"
Software Developer,Autodesk,3.9,308,Software Product,Hyderabad +23 other locations,0 - 6 yrs exp.,₹ 14.4 L/yr - ₹ 20.4 L/yr,14.4,20.4,"Company Culture, Work Life Balance, Salary","Promotions, Job Security"
Software Developer,Nielsen,3.1,1.3k,Analytics & KPO,Hyderabad +77 other locations,0 - 4 yrs exp.,₹ 14 L/yr - ₹ 20.6 L/yr,14,20.6,,"Promotions, Job Security, Skill Development"
Software Developer,Piramal Finance,4.2,6.4k,NBFC,Hyderabad +444 other locations,0 - 3 yrs exp.,₹ 14 L/yr - ₹ 20.2 L/yr,14,20.2,"Company Culture, Work Life Balance, Skill Development",
Software Developer,Chargebee,3.5,130,Software Product,Hyderabad +4 other locations,0 - 3 yrs exp.,₹ 15.3 L/yr - ₹ 18.8 L/yr,15.3,18.8,Salary,"Job Security, Promotions, Work Satisfaction"
